id,spam,commentCount,dislikeCount,likeCount,viewCount,defaultAudioLanguage
KH-i2P92bS4,1,421,1009,3747,93583,zxx
ix1vK9-9rUw,1,466,9,329,3065,
UZ4OrJHDpi0,1,1147,20,511,6129,
6wqiOt0HO_c,1,541,20,438,5316,
B80XsS6uvP8,1,415,18,743,9086,
HIGFLgmRAk4,1,651,62,789,12375,
ux_dEVd8K5o,1,15,3,46,1257,en-US
ZUgDl5VTlzA,1,49,6,123,2320,en-US
m_0JMI5yQ5M,1,97,10,101,4643,en-US
m0_bWohPZsM,1,164,8,97,1446,en-US
PqgGA_sfAsA,1,30,2,61,1569,en-US
mKZo4PXD0N4,1,142,32,581,8972,en-US
xchTplTBkuw,1,188,63,538,10975,en-US
vB6K6Pwob4Y,1,193,79,1445,23522,en-US
eLfJk_Q1R-I,1,210,60,1437,24554,en-US
MDXP8euVe7A,1,99,57,717,11604,en-US
B8gTT8e_IiA,0,1106,100,9204,182781,en
OxNy2yDlqN8,0,3050,177,18355,369493,en
7t0EhIrKD2E,0,1429,115,12368,237579,en
TMTqt2EUIfA,0,1589,141,11551,272947,en
2wwbvN6zD50,0,2166,193,13436,301467,en
kBWvzpnBznA,0,492,97,6677,165623,en
qpLniXn-IJM,0,595,158,6252,147484,en
TI9GiXQPtHw,0,685,118,6737,180474,en
-YsYFQvY9Os,0,953,140,5575,119521,en
7g1NsxWLwxI,0,621,185,7119,217102,en
sWIqMVD3LN8,0,256,30,887,9012,en
NecDToy1LNU,0,47,57,249,4421,en
erwRutQDxiE,0,774,48,2889,35766,en
_USEAv-RF8s,0,72,8,478,6913,en
fQ96CTkJu04,0,91,8,534,7830,en
1qFG6YnRCvw,0,198,19,2651,31387,en-GB
6XapPAQsbaA,0,129,24,2211,36044,en-GB
GnTkFLo1SWE,0,746,50,4434,67114,en-GB
kM7INcPD8Z0,0,311,60,5449,103312,en-GB
dE7Gapf6L-U,0,207,20,2316,31755,en-GB
m1G02jg5_Zk,0,509,97,7691,87768,en
iA6enVQvNgw,0,1390,180,12167,159671,en
nzhjBFhEwvg,0,942,172,22729,339586,en
AI4RfjL6r2o,0,947,247,18932,333246,en
EHmBf6TSLew,0,675,103,7982,118453,en
