,id,spam,commentCount,dislikeCount,likeCount,viewCount,defaultAudioLanguage_.,defaultAudioLanguage_GB,defaultAudioLanguage_US,defaultAudioLanguage_en,defaultAudioLanguage_hi,defaultAudioLanguage_it,defaultAudioLanguage_zxx,likeToViews,dislikeToViews,commentToViews
0,KH-i2P92bS4,1,421,1009,3747,93583,0,0,0,0,0,0,1,4.003932338138337,1.0781872776038381,0.44986803158693356
1,ix1vK9-9rUw,1,466,9,329,3065,1,0,0,0,0,0,0,10.734094616639478,0.2936378466557912,15.203915171288743
2,UZ4OrJHDpi0,1,1147,20,511,6129,1,0,0,0,0,0,0,8.33741230217001,0.32631750693424705,18.714309022679064
3,6wqiOt0HO_c,1,541,20,438,5316,1,0,0,0,0,0,0,8.239277652370202,0.3762227238525207,10.176824680210684
4,B80XsS6uvP8,1,415,18,743,9086,1,0,0,0,0,0,0,8.17741580453445,0.1981069777679947,4.567466431873211
5,HIGFLgmRAk4,1,651,62,789,12375,1,0,0,0,0,0,0,6.375757575757576,0.501010101010101,5.260606060606061
6,ux_dEVd8K5o,1,15,3,46,1257,0,0,1,0,0,0,0,3.659506762132061,0.23866348448687352,1.1933174224343674
7,ZUgDl5VTlzA,1,49,6,123,2320,0,0,1,0,0,0,0,5.301724137931035,0.25862068965517243,2.1120689655172415
8,m_0JMI5yQ5M,1,97,10,101,4643,0,0,1,0,0,0,0,2.175317682532845,0.21537798836958863,2.0891664871850097
9,m0_bWohPZsM,1,164,8,97,1446,0,0,1,0,0,0,0,6.708160442600277,0.5532503457814661,11.341632088520056
10,PqgGA_sfAsA,1,30,2,61,1569,0,0,1,0,0,0,0,3.8878266411727216,0.12746972594008923,1.9120458891013385
11,mKZo4PXD0N4,1,142,32,581,8972,0,0,1,0,0,0,0,6.475702184574231,0.3566651805617477,1.5827017387427553
12,xchTplTBkuw,1,188,63,538,10975,0,0,1,0,0,0,0,4.902050113895216,0.5740318906605922,1.712984054669704
13,vB6K6Pwob4Y,1,193,79,1445,23522,0,0,1,0,0,0,0,6.143185103307542,0.3358557945752912,0.8205084601649519
14,eLfJk_Q1R-I,1,210,60,1437,24554,0,0,1,0,0,0,0,5.852406939806142,0.24435937118188483,0.8552577991365969
15,MDXP8euVe7A,1,99,57,717,11604,0,0,1,0,0,0,0,6.178903826266804,0.49120992761116855,0.8531540847983453
16,B8gTT8e_IiA,0,1106,100,9204,182781,0,0,0,1,0,0,0,5.035534327966254,0.054710281703240486,0.6050957156378398
17,OxNy2yDlqN8,0,3050,177,18355,369493,0,0,0,1,0,0,0,4.967617789782215,0.04790347855033789,0.8254554213476304
18,7t0EhIrKD2E,0,1429,115,12368,237579,0,0,0,1,0,0,0,5.205847318155224,0.04840495161609402,0.6014841379078117
19,TMTqt2EUIfA,0,1589,141,11551,272947,0,0,0,1,0,0,0,4.231957119880416,0.05165838056472502,0.5821643029599153
20,2wwbvN6zD50,0,2166,193,13436,301467,0,0,0,1,0,0,0,4.456872559849005,0.06402027419253185,0.7184866005234404
21,kBWvzpnBznA,0,492,97,6677,165623,0,0,0,1,0,0,0,4.031444908013984,0.05856674495692024,0.29706019091551294
22,qpLniXn-IJM,0,595,158,6252,147484,0,0,0,1,0,0,0,4.239103902796235,0.1071302649778959,0.40343359279650676
23,TI9GiXQPtHw,0,685,118,6737,180474,0,0,0,1,0,0,0,3.732947682214613,0.06538337932333743,0.37955605793632324
24,-YsYFQvY9Os,0,953,140,5575,119521,0,0,0,1,0,0,0,4.664452271985676,0.11713422745793627,0.7973494197672376
25,7g1NsxWLwxI,0,621,185,7119,217102,0,0,0,1,0,0,0,3.279103831378799,0.08521340199537544,0.28604066291420627
26,sWIqMVD3LN8,0,256,30,887,9012,0,0,0,1,0,0,0,9.842432312472258,0.3328894806924101,2.840656901908566
27,NecDToy1LNU,0,47,57,249,4421,0,0,0,1,0,0,0,5.632209907260801,1.289301063107894,1.063107894141597
